date,time,open,high,low,close,volume
2025.04.17,12:00,3327.32200,3342.43300,3283.84900,3296.43100,99649
2025.04.17,16:00,3296.33500,3322.51900,3294.90400,3320.76900,37716
2025.04.17,20:00,3320.69100,3328.80700,3317.97500,3327.67100,5330
2025.04.20,22:05,3331.84900,3353.10500,3331.28800,3348.07800,23650
2025.04.21,00:00,3348.15500,3385.29400,3347.48700,3382.47200,59951
2025.04.21,04:00,3382.46500,3396.01700,3369.59700,3385.05800,45547
2025.04.21,08:00,3385.03100,3405.92400,3383.67700,3404.44300,38845
2025.04.21,12:00,3404.51500,3430.27900,3398.00800,3422.94100,84619
2025.04.21,16:00,3422.89700,3430.54700,3405.98800,3423.45800,40408
2025.04.21,20:00,3423.48600,3444.26700,3419.62800,3434.54800,26889
2025.04.22,00:00,3434.52400,3494.77300,3412.18000,3487.77600,94820
2025.04.22,04:00,3487.89400,3500.03300,3460.86100,3468.67000,92141
2025.04.22,08:00,3468.65600,3472.65000,3443.15100,3456.72100,68446
2025.04.22,12:00,3456.70600,3464.80300,3408.59700,3417.66900,127089
2025.04.22,16:00,3417.62000,3421.04300,3366.71800,3374.78900,110200
2025.04.22,20:00,3374.81800,3382.71000,3315.82800,3336.56100,54361
2025.04.23,00:00,3336.60700,3386.64600,3329.20300,3338.87800,114684
2025.04.23,04:00,3338.94400,3349.35500,3291.78900,3319.13000,91233
2025.04.23,08:00,3319.18500,3340.53600,3305.43900,3324.59400,58581
2025.04.23,12:00,3324.67700,3333.35800,3260.04200,3280.42400,150477
2025.04.23,16:00,3280.38600,3305.60000,3277.82300,3293.85800,55611
2025.04.23,20:00,3293.94300,3316.88200,3283.90300,3316.38400,23707
2025.04.24,00:00,3316.35100,3367.54600,3313.28600,3327.07400,97856
2025.04.24,04:00,3326.90600,3339.83700,3314.74200,3333.73300,61320
2025.04.24,08:00,3333.68700,3343.98800,3325.42800,3336.93200,44694
2025.04.24,12:00,3336.94800,3344.71900,3306.73900,3329.39100,84267
2025.04.24,16:00,3329.36500,3347.03000,3322.43700,3342.22600,35445
2025.04.24,20:00,3342.26600,3370.78900,3338.12800,3348.97600,26804
2025.04.25,00:00,3348.95100,3363.13200,3322.63200,3323.65500,58473
2025.04.25,04:00,3323.68100,3327.77500,3287.01200,3307.40700,81096
2025.04.25,08:00,3307.38100,3308.76300,3287.91100,3293.42600,49074
2025.04.25,12:00,3293.39600,3303.05400,3265.07200,3282.88300,87755
2025.04.25,16:00,3282.88200,3312.46400,3280.33800,3304.81800,36933
2025.04.25,20:00,3304.85600,3319.24000,3304.56900,3318.72600,7502
2025.04.27,22:05,3325.64000,3330.25600,3298.60600,3302.73900,25739
2025.04.28,00:00,3302.79100,3315.96500,3268.10200,3290.90200,77517
2025.04.28,04:00,3290.89400,3301.05400,3277.64500,3287.46600,46444
2025.04.28,08:00,3287.43700,3297.18300,3273.26800,3294.17600,38794
2025.04.28,12:00,3294.22500,3336.00100,3286.85100,3325.00500,78457
2025.04.28,16:00,3325.04600,3353.02100,3324.49600,3352.07600,41073
2025.04.28,20:00,3352.10700,3352.38000,3332.36200,3337.61000,24156
2025.04.29,00:00,3337.64300,3340.03900,3308.01600,3316.03000,59349
2025.04.29,04:00,3316.05700,3323.89500,3305.08400,3323.04200,39335
2025.04.29,08:00,3323.06600,3324.92300,3306.15900,3309.41600,33233
2025.04.29,12:00,3309.35900,3321.31200,3299.64900,3312.45500,75334
2025.04.29,16:00,3312.47700,3330.01300,3312.18000,3320.53500,35055
2025.04.29,20:00,3320.51000,3323.49800,3310.94900,3317.12200,15562
2025.04.30,00:00,3317.16100,3327.97100,3303.76300,3304.75300,43129
2025.04.30,04:00,3304.76500,3314.67000,3301.32600,3307.20300,31541
2025.04.30,08:00,3307.24200,3307.70400,3268.30200,3272.30700,49637
2025.04.30,12:00,3272.33100,3319.74200,3266.90100,3307.95500,103243
2025.04.30,16:00,3308.05600,3314.27900,3292.05300,3295.81800,38641
2025.04.30,20:00,3295.77800,3297.98700,3269.73800,3272.88700,32012
2025.05.01,00:00,3272.92200,3276.31400,3228.89400,3229.49600,75479
2025.05.01,04:00,3229.54000,3243.14900,3221.22800,3230.19200,51895
2025.05.01,08:00,3230.14900,3236.72600,3203.33400,3205.50200,41324
2025.05.01,12:00,3205.46500,3233.32000,3201.86200,3216.46100,92532
2025.05.01,16:00,3216.43400,3229.72000,3208.91200,3228.25000,36037
2025.05.01,20:00,3228.23800,3243.53100,3228.03900,3237.25300,21931
2025.05.02,00:00,3237.29100,3258.75800,3227.53300,3254.91600,45049
2025.05.02,04:00,3255.02000,3263.34300,3246.32700,3258.90600,36611
2025.05.02,08:00,3258.99200,3269.24200,3255.16100,3262.69800,36536
2025.05.02,12:00,3262.68400,3264.90600,3230.22800,3231.60100,100379
2025.05.02,16:00,3231.60400,3239.86800,3222.72100,3233.61100,56317
2025.05.02,20:00,3233.64900,3241.23200,3232.62700,3240.94700,5920
2025.05.04,22:05,3238.49000,3252.30000,3237.49000,3247.92200,17294
2025.05.05,00:00,3247.99300,3272.42900,3241.18000,3254.55000,48409
2025.05.05,04:00,3254.44700,3267.74800,3253.61600,3264.76000,37530
2025.05.05,08:00,3264.82400,3318.98500,3263.06000,3312.91900,53005
2025.05.05,12:00,3312.80100,3328.83800,3309.00600,3312.06500,65110
2025.05.05,16:00,3312.02800,3337.65200,3305.57700,3328.79300,39951
2025.05.05,20:00,3328.76000,3338.05200,3327.42600,3334.03100,19415
2025.05.06,00:00,3334.03800,3387.09900,3323.13900,3360.40100,97629
2025.05.06,04:00,3360.39500,3379.65300,3350.15200,3371.20000,54263
2025.05.06,08:00,3371.31300,3385.06300,3368.54700,3379.12800,44765
2025.05.06,12:00,3379.18000,3399.89500,3373.10100,3395.08300,72803
2025.05.06,16:00,3395.13500,3424.05900,3394.67300,3423.13900,41748
2025.05.06,20:00,3423.11500,3435.01600,3376.84000,3400.72300,64797
2025.05.07,00:00,3400.76500,3401.66600,3360.06800,3375.54100,99183
2025.05.07,04:00,3375.51900,3397.40000,3374.96200,3387.97100,46265
2025.05.07,08:00,3388.01000,3393.41000,3369.18600,3387.08300,45569
2025.05.07,12:00,3387.05500,3398.09900,3375.66200,3385.27000,69170
2025.05.07,16:00,3385.22400,3398.00100,3363.69200,3371.83200,75756
2025.05.07,20:00,3371.95900,3377.18500,3363.79100,3376.48800,21359
2025.05.08,00:00,3376.51500,3414.85100,3373.78500,3396.86400,65706
2025.05.08,04:00,3396.83900,3399.41700,3320.19900,3342.92800,92249
2025.05.08,08:00,3342.88200,3346.69500,3330.39000,3344.38100,46409
2025.05.08,12:00,3344.31100,3369.60200,3326.80400,3330.39900,86788
2025.05.08,16:00,3330.37100,3330.37100,3288.72600,3306.38400,70015
2025.05.08,20:00,3306.43400,3324.01000,3303.82800,3316.41200,25753
2025.05.09,00:00,3316.44800,3323.13800,3274.66400,3308.10600,81062
2025.05.09,04:00,3308.09900,3332.26400,3308.09900,3327.30600,49825
2025.05.09,08:00,3327.33100,3338.37100,3320.21700,3332.96200,38979
2025.05.09,12:00,3333.06600,3346.04400,3320.29800,3345.04000,63286
2025.05.09,16:00,3345.14300,3347.55600,3325.44100,3328.80200,32131
2025.05.09,20:00,3328.76000,3330.29500,3325.14200,3326.80500,5132
2025.05.11,22:05,3282.25500,3292.61100,3265.84700,3287.53400,32384
2025.05.12,00:00,3287.50600,3289.96600,3258.75100,3283.25000,77805
2025.05.12,04:00,3283.21400,3283.66200,3216.10500,3222.64700,85553
2025.05.12,08:00,3222.71800,3234.39800,3207.69300,3224.79400,80071
2025.05.12,12:00,3224.82200,3248.60100,3220.32300,3239.23700,95260
2025.05.12,16:00,3239.21000,3240.13800,3220.29500,3235.39400,41765
2025.05.12,20:00,3235.35500,3241.80700,3229.86400,3236.88000,18096
2025.05.13,00:00,3236.90600,3243.42300,3215.86200,3236.74300,57874
2025.05.13,04:00,3236.71900,3265.65900,3234.85300,3259.09800,44398
2025.05.13,08:00,3259.13900,3261.28400,3248.76300,3249.13400,34776
2025.05.13,12:00,3249.09800,3255.82700,3225.47300,3253.32500,82296
2025.05.13,16:00,3253.29300,3257.81800,3242.04400,3249.32400,30827
2025.05.13,20:00,3249.35500,3257.16500,3248.04300,3254.42600,12944
2025.05.14,00:00,3254.38800,3254.65800,3226.21200,3228.36600,52511
2025.05.14,04:00,3228.37000,3238.87400,3221.57000,3238.08500,42250
2025.05.14,08:00,3237.99000,3243.89700,3219.43600,3220.14200,45694
2025.05.14,12:00,3220.10500,3222.52000,3174.90000,3182.67400,111534
2025.05.14,16:00,3182.62900,3190.94100,3167.95700,3180.58700,45266
2025.05.14,20:00,3180.61300,3187.31200,3177.07800,3186.00800,15029
2025.05.15,00:00,3185.93400,3192.74300,3148.31500,3150.59400,57364
2025.05.15,04:00,3150.54600,3153.89200,3120.64900,3142.31800,65012
2025.05.15,08:00,3142.24400,3180.01900,3139.07900,3179.18000,47751
2025.05.15,12:00,3179.14100,3220.08800,3177.50700,3219.74000,80438
2025.05.15,16:00,3219.78000,3232.72300,3215.87300,3232.03700,33539
2025.05.15,20:00,3231.90100,3252.13200,3231.09400,3237.15000,26798
2025.05.16,00:00,3237.17500,3244.61500,3206.50500,3211.96900,66232
2025.05.16,04:00,3211.92000,3231.34300,3205.37800,3207.68100,48166
2025.05.16,08:00,3207.57200,3212.95400,3154.22100,3163.11500,62650
2025.05.16,12:00,3163.14900,3188.60600,3154.87900,3183.47900,93353
2025.05.16,16:00,3183.51400,3195.76300,3180.43200,3192.58300,34039
2025.05.16,20:00,3192.55300,3202.95400,3192.13000,3202.21700,8672
2025.05.18,22:05,3214.22600,3245.26000,3211.64400,3234.91000,28710
2025.05.19,00:00,3234.94700,3249.81200,3208.04000,3212.27000,68536
2025.05.19,04:00,3212.22900,3234.62800,3206.58400,3232.33500,47057
2025.05.19,08:00,3232.36100,3248.53500,3229.97300,3243.82000,40223
2025.05.19,12:00,3243.81700,3244.44400,3217.21600,3231.66200,67520
2025.05.19,16:00,3231.68700,3235.86600,3225.16600,3233.01000,28988
2025.05.19,20:00,3233.05600,3233.79000,3219.09700,3222.53200,14909
2025.05.20,00:00,3222.56100,3232.80400,3204.53500,3211.45000,52067
2025.05.20,04:00,3211.39400,3225.46000,3207.94600,3222.84300,40450
2025.05.20,08:00,3222.81900,3241.65100,3218.27500,3241.23600,35255
2025.05.20,12:00,3241.13900,3285.88600,3232.83700,3277.23900,88317
2025.05.20,16:00,3277.21200,3295.17200,3275.23200,3294.07800,32435
2025.05.20,20:00,3294.13000,3304.14400,3288.53000,3290.69500,26448
2025.05.21,00:00,3290.73400,3314.70400,3285.42000,3307.50500,60364
2025.05.21,04:00,3307.49100,3320.73500,3298.40400,3309.90600,45472
2025.05.21,08:00,3309.93300,3318.29400,3303.94600,3311.24900,39040
2025.05.21,12:00,3311.25500,3315.21100,3290.69300,3311.97800,76794
2025.05.21,16:00,3312.01200,3324.89700,3302.75800,3318.37700,42472
2025.05.21,20:00,3318.42300,3324.21300,3313.19200,3320.08100,20360
2025.05.22,00:00,3320.13800,3345.43000,3319.38900,3335.44000,51440
2025.05.22,04:00,3335.45100,3339.50200,3322.60800,3327.62100,40213
2025.05.22,08:00,3327.63600,3329.87500,3282.97700,3314.33000,64850
2025.05.22,12:00,3314.30500,3315.77500,3279.25200,3294.67500,93157
2025.05.22,16:00,3294.72200,3304.86000,3288.98200,3290.26400,38250
2025.05.22,20:00,3290.29600,3302.01300,3289.59300,3300.14600,14858
2025.05.23,00:00,3300.17200,3308.90800,3286.94200,3302.07000,53886
2025.05.23,04:00,3302.09700,3334.50200,3301.91500,3329.14500,42592
